Nome do Repositório,Idade (dias),PRs Aceitos Externos,Releases,Dias sem atualizar,Linguagem,Total Issues,Issues Fechadas,Razão Issues Fechadas (%)
codecrafters-io/build-your-own-x,2854,100,0,0,Markdown,886,653,73.7
sindresorhus/awesome,4252,100,0,0,Nenhuma,365,348,95.34
freeCodeCamp/freeCodeCamp,4086,97,0,0,TypeScript,21145,20958,99.12
public-apis/public-apis,3634,100,0,0,Python,835,832,99.64
EbookFoundation/free-programming-books,4526,100,0,0,Python,1263,1227,97.15
kamranahmedse/developer-roadmap,3274,100,1,0,TypeScript,3082,3049,98.93
jwasham/coding-interview-university,3557,100,0,0,Nenhuma,525,454,86.48
donnemartin/system-design-primer,3291,65,0,0,Python,358,110,30.73
vinta/awesome-python,4266,100,0,0,Python,0,0,0
awesome-selfhosted/awesome-selfhosted,3928,76,1,0,Nenhuma,807,807,100.0
996icu/996.ICU,2534,100,0,0,Nenhuma,0,0,0
practical-tutorials/project-based-learning,3247,100,0,0,Nenhuma,228,82,35.96
openclaw/openclaw,98,86,59,0,TypeScript,14334,9826,68.55
facebook/react,4665,71,118,0,JavaScript,14382,13568,94.34
torvalds/linux,5293,0,0,0,C,0,0,0
TheAlgorithms/Python,3517,91,0,0,Python,1702,1540,90.48
vuejs/vue,4600,92,249,0,TypeScript,10027,9668,96.42
trimstray/the-book-of-secret-knowledge,2809,100,0,0,Nenhuma,0,0,0
ossu/computer-science,4321,93,0,0,HTML,665,653,98.2
trekhleb/javascript-algorithms,2901,100,0,0,JavaScript,371,233,62.8
tensorflow/tensorflow,3769,92,221,0,C++,41186,40299,97.85
ohmyzsh/ohmyzsh,6030,100,0,0,Shell,5031,4889,97.18
getify/You-Dont-Know-JS,4490,100,0,0,Nenhuma,949,949,100.0
CyC2018/CS-Notes,2939,100,0,0,Nenhuma,577,449,77.82
microsoft/vscode,3833,50,196,0,TypeScript,231721,218411,94.26
Significant-Gravitas/AutoGPT,1083,91,93,0,Python,3736,3502,93.74
jackfrued/Python-100-Days,2923,13,0,0,Jupyter Notebook,711,188,26.44
n8n-io/n8n,2446,100,544,0,TypeScript,8175,7710,94.31
flutter/flutter,4014,95,7,0,Dart,112390,100208,89.16
twbs/bootstrap,5330,100,94,0,MDX,22848,22453,98.27
github/gitignore,5593,100,0,0,Nenhuma,0,0,0
massgravel/Microsoft-Activation-Scripts,2241,3,29,0,Batchfile,908,905,99.67
