Nome,Popularidade_Stars,Maturidade_Idade,Atividade_Releases,Tamanho_LOC,Tamanho_Comentarios,CBO,DIT,LCOM
Snailclimb/JavaGuide,154568,7.9,0,300,29,2.33,1.0,14.33
krahets/hello-algo,124385,3.4,10,7707,7900,1.87,1.0,4.71
GrowingGit/GitHub-Chinese-Top-Charts,107172,6.57,0,5,1,0.0,1.0,0.0
iluwatar/java-design-patterns,93846,11.64,0,37970,59320,3.36,1.2,1.83
macrozheng/mall,83278,7.99,3,100903,3050,3.93,1.24,1110.8
spring-projects/spring-boot,80309,13.45,345,410417,0,5.49,1.29,12.92
doocs/advanced-java,78917,7.48,1,5,3,0.0,1.0,0.0
MisterBooo/LeetCodeAnimation,76687,7.32,0,78,16,1.0,1.0,0.0
TheAlgorithms/Java,65297,9.71,0,72448,31277,2.08,1.04,11.21
kdn251/interviews,64900,9.12,0,5621,4446,1.19,1.0,0.29
spring-projects/spring-framework,59796,15.31,359,771513,0,5.25,1.47,29.49
termux/termux-app,52712,10.44,95,24563,10645,5.91,1.43,60.83
google/guava,51514,11.84,57,250593,133466,4.26,1.85,51.05
ReactiveX/RxJava,48435,13.22,257,372960,81492,2.33,1.32,47.54
skylot/jadx,47895,13.03,34,138313,7817,4.37,1.65,32.3
jeecgboot/JeecgBoot,45652,7.34,70,55117,0,7.36,1.18,55.87
apache/dubbo,41687,13.78,113,257068,0,5.44,1.29,45.92
PhilJay/MPAndroidChart,38227,11.93,44,21111,9014,8.84,1.98,91.03
halo-dev/halo,38166,8.03,254,55914,10261,7.69,1.27,7.66
TeamNewPipe/NewPipe,37692,10.57,141,38887,8431,8.66,1.72,47.87
eugenp/tutorials,37345,12.92,0,546870,0,4.13,1.11,5.9
alibaba/arthas,37221,7.59,69,65589,0,4.69,1.36,30.2
YunaiV/ruoyi-vue-pro,36110,5.18,54,104440,0,7.95,1.22,16.2
geekxh/hello-algorithm,36049,5.84,0,61,969,1.0,1.0,0.0
doocs/leetcode,35845,7.54,21,4702,6117,2.7,1.01,0.37
ashishps1/awesome-system-design-resources,35707,2.43,0,336,13,0.82,1.0,0.0
airbnb/lottie-android,35600,9.48,63,18159,3834,6.97,1.29,35.8
bumptech/glide,35029,12.73,54,61128,14483,5.98,1.24,20.0
netty/netty,34897,15.39,3,388883,136601,4.49,1.53,69.02
SeleniumHQ/selenium,34170,13.21,114,99491,34973,5.79,1.38,33.49
xkcoding/spring-boot-demo,34113,8.39,0,7163,7427,5.05,1.13,2.32
zxing/zxing,33907,14.47,32,40179,17720,4.98,1.66,22.89
alibaba/easyexcel,33755,8.15,14,20545,10113,6.63,1.38,32.02
Blankj/AndroidUtilCode,33706,9.67,117,39995,18093,4.17,1.36,144.95
keycloak/keycloak,33658,12.74,103,576357,0,6.98,1.53,70.93
alibaba/nacos,32774,7.79,92,237899,0,5.42,1.28,22.63
binarywang/WxJava,32677,10.23,31,123627,0,5.45,1.21,20.96
apache/kafka,32255,14.63,0,723681,236129,7.98,1.44,64.99
conductor-oss/conductor,31597,2.31,40,94296,26393,7.44,1.23,60.83
ityouknow/spring-boot-examples,30629,9.4,0,4461,409,4.73,1.03,5.03
chinabugotech/hutool,30319,11.96,157,135824,116410,3.54,1.28,101.07
xuxueli/xxl-job,30000,10.34,42,8637,4907,5.01,1.16,24.75
apolloconfig/apollo,29755,10.07,43,36584,14760,7.53,1.24,15.44
alibaba/canal,29644,13.21,32,112746,19191,5.8,1.38,77.03
yuliskov/SmartTube,29232,5.67,984,244033,89053,6.66,1.55,66.31
alibaba/spring-cloud-alibaba,29087,8.33,51,19016,0,5.74,1.11,29.93
wuyouzhuguli/SpringAll,29010,7.91,0,6035,1295,5.24,1.11,3.75
DrKLO/Telegram,28786,12.43,95,1682799,105109,6.92,1.67,69.58
alibaba/druid,28209,14.41,52,349787,69261,5.23,1.65,229.41
lenve/vhr,28098,8.24,0,2971,387,4.44,1.02,48.33
crossoverJie/JCSprout,26993,8.28,0,4399,1425,1.96,1.09,1.77
kestra-io/kestra,26641,6.6,413,82504,14617,8.09,1.44,15.25
qiurunze123/miaosha,26601,7.54,0,8581,2218,4.15,1.13,14.3
OpenAPITools/openapi-generator,26047,7.89,79,274329,0,5.23,1.24,86.01
apache/incubator-seata,25966,7.26,45,277373,0,6.49,1.77,462.33
apache/flink,25907,11.81,0,1184815,0,7.21,1.64,35.5
alibaba/fastjson,25695,14.41,84,206496,14026,1.85,1.5,126.12
JakeWharton/butterknife,25409,13.07,0,7712,691,3.96,1.24,10.48
CodePhiliaX/Chat2DB,25307,2.78,43,35180,0,6.09,1.27,16.49
bazelbuild/bazel,25281,11.8,246,597205,0,7.57,1.62,70.79
scwang90/SmartRefreshLayout,25169,8.83,14,18146,4275,6.65,1.51,30.32
jenkinsci/jenkins,25153,15.35,484,188735,87222,6.35,1.91,46.61
libgdx/libgdx,24966,13.64,15,293577,0,5.14,1.79,3434.73
proxyee-down-org/proxyee-down,24783,8.43,49,3392,276,5.52,1.47,19.52
apache/skywalking,24764,10.4,63,128371,0,6.06,1.39,7.1
greenrobot/EventBus,24741,13.71,7,5269,1718,3.43,1.84,9.05
Netflix/Hystrix,24460,13.36,79,62010,0,3.34,1.57,20.25
google/gson,24333,11.03,12,34805,11713,3.03,1.29,20.78
redisson/redisson,24287,12.22,178,175777,0,5.78,1.34,174.16
iBotPeaches/Apktool,24166,14.03,28,13448,2862,5.87,1.78,53.96
dataease/dataease,23696,5.16,105,44558,6390,4.98,1.2,28.53
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,23583,13.35,0,894,0,2.9,1.0,0.23
LSPosed/LSPosed,23306,5.3,39,22952,4743,5.52,1.65,48.11
doocs/source-code-hunter,23133,6.42,0,5,3,0.0,1.0,0.0
alibaba/Sentinel,23098,7.99,26,56086,0,4.41,1.18,12.34
ashishps1/awesome-low-level-design,23030,2.37,0,14621,743,2.63,1.14,3.05
kunal-kushwaha/DSA-Bootcamp-Java,22408,4.67,0,6614,853,1.27,1.08,3.5
apache/rocketmq,22393,9.33,24,235165,49906,7.08,1.33,135.45
google/ExoPlayer,21934,11.8,28,262348,104568,7.59,1.3,52.22
elunez/eladmin,21933,7.29,1,8070,8192,8.01,1.16,6.26
CarGuo/GSYVideoPlayer,21424,9.38,65,32667,7082,5.33,1.54,52.35
brettwooldridge/HikariCP,21078,12.48,0,11464,4042,4.38,1.29,172.67
apache/shardingsphere,20702,10.2,59,248139,0,7.35,1.37,29.67
didi/DoKit,20431,7.63,14,80480,28136,4.51,1.32,71.77
mybatis/mybatis-3,20402,13.12,46,61067,28395,3.57,1.24,21.27
linlinjava/litemall,20211,8.02,8,90884,40871,4.62,1.13,1532.88
ReactiveX/RxAndroid,20154,11.61,20,1452,240,2.27,1.13,3.09
yudaocode/SpringBoot-Labs,20077,7.55,0,17714,0,4.3,1.05,1.44
dianping/cat,18968,13.32,3,98001,22914,5.53,1.43,23.04
lionsoul2014/ip2region,18887,10.41,21,2564,534,4.1,1.21,11.19
Baseflow/PhotoView,18853,13.7,5,1792,360,4.73,1.36,24.6
antlr/antlr4,18807,16.15,31,41022,16397,5.77,1.84,48.3
