repository,stars,age_years,ai_score,ai_validation_reason,pre_commits,pre_issues,pre_avg_resolution_hours,pre_issue_rate_per_month,pre_fix_percent,pre_revert_percent,pre_avg_lines_changed,pre_avg_mi,pre_median_mi,pre_std_mi,pre_avg_cc,pre_median_cc,pre_std_cc,pos_commits,pos_issues,pos_avg_resolution_hours,pos_issue_rate_per_month,pos_fix_percent,pos_revert_percent,pos_avg_lines_changed,pos_avg_mi,pos_median_mi,pos_std_mi,pos_avg_cc,pos_median_cc,pos_std_cc,comparison_mi_change_percent,comparison_cc_change_percent
ThePorgs/Exegol,2987,6.2,2,2 commits with LLM co-authorship in last 2500 commits,2,3,8753.59,0.5,0.0,0.0,61.5,58.586735789278606,59.96614468246651,27.49759494534026,4.373027259684362,2.0,5.182883886772106,2,11,1423.4081944444445,1.8333333333333333,0.0,0.0,3.0,57.54109244251036,58.42371664713008,28.201605910554647,4.416666666666667,2.0,5.336992853098597,-1.7847782995269683,0.9979221347331648
oauthlib/oauthlib,2969,14.5,4,4 commits with LLM co-authorship in last 2500 commits,4,35,5956.879027777778,5.833333333333333,50.0,0.0,14.5,74.45172443989212,73.87995539965634,22.578047534412736,2.604288499025341,1.0,2.884613536333816,4,10,833.7841666666667,1.6666666666666667,0.0,0.0,7.5,74.89076269017383,74.86113123645292,22.63432709275986,2.6379310344827585,1.0,2.9310626548116465,0.5896952066384509,1.2918129258723923
ekzhu/datasketch,2916,11.2,2,2 commits with LLM co-authorship in last 2500 commits,2,21,6022.453055555556,3.5,50.0,0.0,12.0,53.23304473135306,50.791106735598916,24.19975093131054,2.6594059405940595,2.0,2.661577668732848,2,6,2593.9619444444443,1.0,100.0,100.0,715.0,54.33090600334315,51.52184737457014,24.108004352884613,2.710144927536232,2.0,2.766132911366306,2.0623679850186654,1.907906806090622
make-all/tuya-local,2921,6.1,2,2 commits with LLM co-authorship in last 2500 commits,2,84,200.74291666666664,14.0,0.0,0.0,63.5,49.21025457541909,50.33047631948226,20.41400835321021,3.8074534161490683,2.0,5.067064350682583,2,659,23.664444444444445,109.83333333333333,100.0,0.0,242.5,50.081129657991895,51.49435071194908,19.428278218391295,3.94279176201373,2.0,5.487570685011584,1.7697024534553223,3.554563406885896
gramps-project/gramps,2964,11.4,2,2 commits with LLM co-authorship in last 2500 commits,2,0,0.0,0.0,50.0,0.0,17082.5,69.62317825402786,73.01758086909643,27.824149804047035,3.257679180887372,2.0,5.2362758115755135,2,0,0.0,0.0,50.0,0.0,376.0,69.50690456652733,73.37735768535835,28.45004673029262,3.431486880466472,2.0,5.811621665254148,-0.1670042799199722,5.335322784355821
nicotine-plus/nicotine-plus,2878,12.8,2,2 commits with LLM co-authorship in last 2500 commits,2,219,52.288333333333334,36.5,50.0,0.0,8.0,54.99394294205261,58.35860326934625,30.931154169383944,2.7777777777777777,2.0,3.145182939911295,2,134,268.9530555555556,22.333333333333332,0.0,0.0,3905.5,45.73614400588639,47.26364117339856,31.416458091127662,2.9416399182958854,2.0,3.4254036451749643,-16.834215626112154,5.89903705865188
scrapinghub/dateparser,2807,11.5,3,3 commits with LLM co-authorship in last 2500 commits,3,105,874.6408333333334,17.5,66.66666666666666,0.0,226.0,92.85315492735084,100.0,19.424962488684997,4.175226586102719,3.0,6.45220327201975,3,29,5343.401666666667,4.833333333333333,66.66666666666666,0.0,151.0,92.79739794437546,100.0,19.58423842129209,4.262686567164179,3.0,6.5318698797236046,-0.06004856056749655,2.0947361600103775
pypa/setuptools,2831,10.1,1,1 commits with LLM co-authorship in last 2500 commits,1,455,20399.295555555553,75.83333333333333,0.0,0.0,117.0,62.087741400681466,59.51698404373003,26.457993881645244,3.3858623438745683,2.0,9.074055727420058,1,108,9269.647916666667,18.0,0.0,0.0,12.0,63.92863775621425,61.98432543588579,26.294765375471194,3.335465302206588,2.0,9.53493394992752,2.96499166180424,-1.488455127514405
DLR-RM/rl-baselines3-zoo,2803,6.0,1,1 commits with LLM co-authorship in last 2500 commits,1,54,416.0111111111111,9.0,0.0,0.0,22.0,66.50265104465974,59.63249644357484,21.483956460219805,4.763358778625954,3.0,7.1535311955658925,1,8,205.76069444444443,1.3333333333333333,100.0,0.0,1513.0,66.4606009865335,59.63249644357484,21.59185398868633,4.8396946564885495,3.0,7.273098811303136,-0.06323064940373177,1.6025641025641006
quay/quay,2772,6.5,1,1 commits with LLM co-authorship in last 2500 commits,1,0,0.0,0.0,100.0,100.0,117.0,57.54310538393036,54.89840000542167,23.507778527017997,2.7524235645041015,2.0,3.0391804675854384,1,0,0.0,0.0,0.0,0.0,279.0,56.95835866158262,54.33102642280325,23.63920161983986,2.9376313945339874,2.0,3.3843335415931297,-1.0161890263764528,6.728900028991518
