repository,stars,age_years,primary_language,llm_coauthor_commits,commits_scanned,python_file_count,total_sloc,eligible,rejection_reason,star_bucket,scanned_at,has_ai_config
bazelbuild/starlark,2998,7.8,Python,0,136,4,144,False,sem co-autoria LLM e sem arquivos de config nos últimos 136 commits,1000-2999,2026-05-24T11:17:53Z,False
goldsmith/Wikipedia,2998,12.8,Python,0,186,5,682,False,sem co-autoria LLM e sem arquivos de config nos últimos 186 commits,1000-2999,2026-05-24T11:17:53Z,False
raghakot/keras-vis,2994,9.5,Python,0,195,19,1219,False,sem co-autoria LLM e sem arquivos de config nos últimos 195 commits,1000-2999,2026-05-24T11:17:53Z,False
arthepsy/ssh-audit,2992,10.4,Python,0,165,1,1651,False,sem co-autoria LLM e sem arquivos de config nos últimos 165 commits,1000-2999,2026-05-24T11:17:58Z,False
kylemcdonald/FreeWifi,2992,9.4,Python,0,30,1,139,False,sem co-autoria LLM e sem arquivos de config nos últimos 30 commits,1000-2999,2026-05-24T11:18:02Z,False
keithito/tacotron,2991,8.9,Python,0,81,24,1274,False,sem co-autoria LLM e sem arquivos de config nos últimos 81 commits,1000-2999,2026-05-24T11:18:03Z,False
axcore/tartube,2988,7.0,Python,0,281,22,91074,False,sem co-autoria LLM e sem arquivos de config nos últimos 281 commits,1000-2999,2026-05-24T11:18:04Z,False
ThePorgs/Exegol,2993,6.2,Python,1,12,63,10121,True,,1000-2999,2026-05-24T11:17:57Z,False
BayesWitnesses/m2cgen,2983,7.4,Python,0,376,86,4759,False,sem co-autoria LLM e sem arquivos de config nos últimos 376 commits,1000-2999,2026-05-24T11:18:23Z,False
sovrasov/flops-counter.pytorch,2983,7.8,Python,0,258,9,1184,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:18:30Z,True
x0rz/tweets_analyzer,2983,9.3,Python,0,55,2,351,False,sem co-autoria LLM e sem arquivos de config nos últimos 55 commits,1000-2999,2026-05-24T11:18:33Z,False
kotartemiy/newscatcher,2982,6.2,Python,0,19,1,216,False,sem co-autoria LLM e sem arquivos de config nos últimos 19 commits,1000-2999,2026-05-24T11:18:34Z,False
facebookresearch/habitat-lab,2985,7.3,Python,0,945,325,56748,False,sem co-autoria LLM e sem arquivos de config nos últimos 945 commits,1000-2999,2026-05-24T11:18:07Z,False
rhsimplex/image-match,2972,10.2,Python,0,406,6,1144,False,sem co-autoria LLM e sem arquivos de config nos últimos 406 commits,1000-2999,2026-05-24T11:18:37Z,False
deanishe/alfred-workflow,2976,12.3,Python,0,619,15,5008,False,sem co-autoria LLM e sem arquivos de config nos últimos 619 commits,1000-2999,2026-05-24T11:18:35Z,False
Tencent/FaceDetection-DSFD,2971,7.4,Python,0,58,23,3576,False,sem co-autoria LLM e sem arquivos de config nos últimos 58 commits,1000-2999,2026-05-24T11:18:44Z,False
scottlawsonbc/audio-reactive-led-strip,2971,9.6,Python,0,212,7,728,False,sem co-autoria LLM e sem arquivos de config nos últimos 212 commits,1000-2999,2026-05-24T11:18:51Z,False
django-mptt/django-mptt,2975,15.7,Python,0,1238,16,3412,False,sem co-autoria LLM e sem arquivos de config nos últimos 1238 commits,1000-2999,2026-05-24T11:18:36Z,False
Cartucho/mAP,2968,8.2,Python,0,114,8,1007,False,sem co-autoria LLM e sem arquivos de config nos últimos 114 commits,1000-2999,2026-05-24T11:19:00Z,False
oauthlib/oauthlib,2969,14.5,Python,1,16,76,9210,True,,1000-2999,2026-05-24T11:18:53Z,False
ryankiros/neural-storyteller,2965,10.6,Python,0,25,6,1067,False,sem co-autoria LLM e sem arquivos de config nos últimos 25 commits,1000-2999,2026-05-24T11:19:29Z,False
kevin1024/vcrpy,2965,14.0,Python,0,1378,29,2588,False,sem co-autoria LLM e sem arquivos de config nos últimos 1378 commits,1000-2999,2026-05-24T11:19:32Z,False
bethgelab/foolbox,2959,8.9,Python,0,1711,57,7709,False,sem co-autoria LLM e sem arquivos de config nos últimos 1711 commits,1000-2999,2026-05-24T11:20:03Z,False
ehForwarderBot/ehForwarderBot,2958,10.0,Python,0,658,18,3296,False,sem co-autoria LLM e sem arquivos de config nos últimos 658 commits,1000-2999,2026-05-24T11:20:39Z,False
christophetd/CloudFlair,2955,8.4,Python,0,37,6,335,False,sem co-autoria LLM e sem arquivos de config nos últimos 37 commits,1000-2999,2026-05-24T11:20:56Z,False
xiaofengShi/CHINESE-OCR,2955,8.1,Python,0,25,89,5567,False,sem co-autoria LLM e sem arquivos de config nos últimos 25 commits,1000-2999,2026-05-24T11:20:58Z,False
biubug6/Pytorch_Retinaface,2953,6.7,Python,0,19,23,1855,False,sem co-autoria LLM e sem arquivos de config nos últimos 19 commits,1000-2999,2026-05-24T11:21:11Z,False
jschneier/django-storages,2948,11.5,Python,0,1166,14,2150,False,sem co-autoria LLM e sem arquivos de config nos últimos 1166 commits,1000-2999,2026-05-24T11:21:13Z,False
